translation
"{'th': 'คุณทานากะไม่ใช่นักเรียนครับ', 'en': 'Mr Tanaka is not a student.'}"
"{'th': 'พ่อเป็นอาจารย์ครับ', 'en': 'My father is a teacher.'}"
"{'th': 'โรงเรียนหยุดครับ', 'en': 'There is no school.'}"
"{'th': 'โตเกียวอากาศแจ่มใสครับ', 'en': 'It was sunny in Tokyo.'}"
"{'th': 'ที่สวนสาธารณะมีต้นไม้ครับ', 'en': 'There is a tree in the park.'}"
"{'th': 'คุณทานากะอยู่ที่ไหนครับ', 'en': 'Where is Mr Tanaka?'}"
"{'th': 'ไม่มีเงินครับ', 'en': 'I do not have any money.'}"
"{'th': 'บนโต๊ะมีหนังสือครับ', 'en': 'There is a book on the desk.'}"
"{'th': 'ใต้โต๊ะมีกระเป๋าครับ', 'en': 'There is a bag under the desk.'}"
"{'th': 'ในกระเป๋ามีสมุดโน้ตครับ', 'en': 'There is a notebook in the bag.'}"
"{'th': 'คุณยามาดะอยู่ที่ข้างขวาของคุณทานากะครับ', 'en': 'Mr Yamada is to the right of Mr Tanaka.'}"
"{'th': 'คุณคิมูระอยู่ที่ข้างซ้ายของคุณทานากะครับ', 'en': 'Ms Kimura is to the left of Mr Tanaka.'}"
"{'th': 'หน้าบ้านมีแมวครับ', 'en': 'There is a cat in front of the house.'}"
"{'th': 'หลังบ้านมีรถยนต์ครับ', 'en': 'There is a car behind the house.'}"
"{'th': 'ตู้ไปรษณีย์อยู่ฝั่งตรงข้ามบ้านครับ', 'en': 'The postbox is across the street from our house.'}"
"{'th': 'คุณยามาดะอยู่นอกห้องเรียนครับ', 'en': 'Mr Yamada is outside the classroom.'}"
"{'th': 'หน้าบ้านเป็นสวนสาธารณะครับ', 'en': 'There is a park in front of the house.'}"
"{'th': 'โรงเรียนอยู่ใกล้บ้านครับ', 'en': 'The school is near the house.'}"
"{'th': 'หนังสืออยู่ในกระเป๋าครับ', 'en': 'The book is in the bag.'}"
"{'th': 'ปากกาผมด้ามนี้ครับ', 'en': 'This is my pen.'}"
"{'th': 'ห้องเรียนภาษาญี่ปุ่นอยู่ที่ไหนครับ', 'en': 'Where is the Japanese classroom?'}"
"{'th': 'นั่นเป็นหนังสือพิมพ์เมื่อไรครับ', 'en': 'When is that newspaper from?'}"
"{'th': 'ที่ห้องเรียนมีคอมพิวเตอร์เครื่องใหม่ครับ', 'en': 'There is a new computer in the classroom.'}"
"{'th': 'ในกล่องมีหมาตัวเล็กครับ', 'en': 'There is a small dog in the box.'}"
"{'th': 'คุณทานากะเป็นคนร่าเริงครับ', 'en': 'Mr Tanaka is an energetic person.'}"
"{'th': 'เป็นหนังยังไงครับ', 'en': 'What kind of film is it?'}"
"{'th': 'เป็นหนังเก่าของญี่ปุ่นครับ', 'en': ""It's an old Japanese film.""}"
"{'th': 'จะซื้อรองเท้าคู่ไหนครับ', 'en': 'Which shoes are you going to buy?'}"
"{'th': 'พจนานุกรมภาษาญี่ปุ่นคือเล่มนั้นครับ', 'en': 'That is the Japanese dictionary.'}"
"{'th': 'กระเป๋าคุณทานากะอยู่ตรงนั้นครับ', 'en': ""Mr Tanaka's bag is there.""}"
"{'th': 'อาจารย์อยู่ตรงโน้นครับ', 'en': 'Our teacher is over there.'}"
"{'th': 'หนังสือเล่มนั้นเป็นของผมครับ', 'en': 'That book is mine.'}"
"{'th': 'กระเป๋าใบใหญ่ใบนั้นเป็นของผมครับ', 'en': 'That big bag is mine.'}"
"{'th': 'โทษนะครับ ห้องน้ำอยู่ที่ไหนครับ', 'en': 'Excuse me, where is the toilet?'}"
"{'th': 'กระเป๋าใบโน้นเป็นของใครครับ', 'en': 'Whose bag is that?'}"
"{'th': 'โน่นเป็นของคุณทานากะครับ', 'en': ""That is Mr Tanaka's.""}"
"{'th': 'รถอาจารย์อยู่ที่ไหนครับ', 'en': ""Where is the teacher's car?""}"
"{'th': 'มีขนมเค้ก ๗ ชิ้นครับ', 'en': 'There are seven pieces of cake.'}"
"{'th': 'ปากกาลูกลื่นด้ามนี้ราคาเท่าไรครับ', 'en': 'How much is this ballpoint pen?'}"
"{'th': 'ซื้อแสตมป์ ๑๐ ดวงกับไปรษณียบัตร ๓ แผ่นครับ', 'en': 'I will buy ten stamps and three postcards.'}"
"{'th': 'บนโต๊ะอาจารย์มีพจนานุกรม ๒ เล่มกับนิตยสาร ๑ ฉบับครับ', 'en': ""There are two dictionaries and one magazine on the teacher's desk.""}"
"{'th': 'ตรงนั้นมีผ้าเช็ดหน้ากี่ผืนครับ', 'en': 'How many handkerchiefs are there?'}"
"{'th': 'ตอนนี้ ๕โมงครับ', 'en': ""It is five o'clock now.""}"
"{'th': 'ตอนนี้กี่โมงกี่นาทีครับ', 'en': 'What time is it now?'}"
"{'th': '๑๐ โมง ๕๑ นาทีครับ', 'en': 'It is 10.51 right now.'}"
"{'th': 'วันนี้วันที่เท่าไร เดือนอะไรครับ', 'en': ""What's the date today?""}"
"{'th': 'โทรทัศน์อยู่ข้าง ๆ เปียโนครับ', 'en': 'There is a TV next to the piano.'}"
